timestamp,index,name,utilization_gpu_pct,memory_used_mb,memory_total_mb,power_draw_w,temperature_c
2026/09/08 06:25:11.181, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:13.257, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:15.357, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:17.433, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:19.487, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:21.589, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:23.665, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:25.723, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 54.93, 33
2026/09/08 06:25:27.800, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:29.872, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:31.969, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:34.041, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:36.113, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:38.181, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 54.93, 33
2026/09/08 06:25:40.272, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:42.345, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:44.421, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 54.93, 33
2026/09/08 06:25:46.513, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 54.93, 33
2026/09/08 06:25:48.609, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:50.701, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:52.777, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:54.869, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:56.966, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:25:59.023, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 54.93, 33
2026/09/08 06:26:01.125, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 54.93, 33
2026/09/08 06:26:03.179, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 54.93, 33
2026/09/08 06:26:05.235, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:07.333, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:09.432, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:11.491, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 54.93, 33
2026/09/08 06:26:13.589, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:15.689, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 54.93, 33
2026/09/08 06:26:17.789, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:19.844, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:21.912, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:23.985, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:26.044, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 54.93, 33
2026/09/08 06:26:28.120, 0, Tesla V100-SXM2-32GB, 6, 517, 32768, 54.93, 33
2026/09/08 06:26:30.175, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:32.249, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:34.349, 0, Tesla V100-SXM2-32GB, 6, 509, 32768, 55.42, 33
2026/09/08 06:26:36.424, 0, Tesla V100-SXM2-32GB, 3, 509, 32768, 54.93, 33
2026/09/08 06:26:38.479, 0, Tesla V100-SXM2-32GB, 4, 509, 32768, 55.42, 33
2026/09/08 06:26:40.576, 0, Tesla V100-SXM2-32GB, 4, 509, 32768, 55.42, 33
